,Name,Overview,Genres,Origin Country,Origin Country Detailed,Original Language,Original Language Detailed,Original Name,First Air Date,Year,Total Fans,Combined Average Score,TMDB Popularity,TMDB Users,TMDB Vote Average,Anilist Users,Anilist Average Score,Source Material,Is Adult,TMDB ID,Anilist ID
1079,Blade and Soul,"Alka is an assassin for the Clan of the Sword. She's on a journey to find the woman Jin Valel, who killed her master Hon. Jin is demon-like woman who controls the Energy of Chaos and kills without feeling - not unlike how Alka has learned to kill in her work as an assassin. On her journey, Alka encounters three strange women, each great warriors in their own right, and grapples with her slain master's wish that she leave the life of an assassin behind.","'Action', 'Adventure', 'Fantasy'",Japan Only,'Japan',Japanese,Japanese,ãƒ–ãƒ¬ã‚¤ãƒ‰ã‚¢ãƒ³ãƒ‰ã‚½ã‚¦ãƒ«,3/4/2014,2014,13618,54.97191952,6.113,8,7.2,13610,55,Video Game,FALSE,60814,20619
1080,The Kawai Complex Guide to Manors and Hostel Behavior,"Kazunari Usa finally has a place of his own at the Kawai housing complex. Unfortunately, his roommate is a total weirdo and a massive pervert! But life at the Kawai Complex isnâ€™t all that bad with his dream-girl Ritsu living right down the hall.","'Comedy', 'Romance', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,åƒ•ã‚‰ã¯ã¿ã‚“ãªæ²³åˆè˜,4/4/2014,2014,40830,74.98319863,36.769,10,6.4,40820,75,Manga,FALSE,60812,20529
1081,Majin Bone,,,Japan Only,'Japan',Japanese,Japanese,ãƒžã‚¸ãƒ³ãƒœãƒ¼ãƒ³,1/4/2014,2014,1508,57,0.631,0,0,1508,57,Video Game,FALSE,79057,20621
1082,Gudetama,"Gudetama, an egg that is dead to the world and completely lacks motivation. No matter what cooking method you use, Gudetama remains unmoved.",'Comedy',Japan Only,'Japan',Japanese,Japanese,ãã§ãŸã¾,31/3/2014,2014,1152,62,0.6,0,0,1152,62,Original,FALSE,106963,97861
1083,Keroro,keroro! A brand-new campaign to invade Pekopon begins!,"'Comedy', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ã‚±ãƒ­ãƒ­,22/3/2014,2014,1275,62.95843137,1.4,1,10,1274,63,Manga,FALSE,60656,20543
1084,Nandaka Velonica,"Velonica is a high-handed and ultra-selfish little alien girl on the Galaxy Network, who begins to cause havoc on Earth. After a fated encounter with an Earthling boy Konpei, Velonica wavers between a possible budding romance with the boy and her dedication to the arts.","'Comedy', 'Fantasy'",Japan Only,'Japan',Japanese,Japanese,ãƒŠãƒ³ãƒ€ã‚«ãƒ™ãƒ­ãƒ‹ã‚«,10/3/2014,2014,382,55.85863874,0.6,1,2,381,56,,FALSE,73492,20653
1085,Amazing Twins,"Amane Todoroki is a young girl who is straightforward but also unthinking. She will try her very best in everything and say, ""I don't know how to answer you if you ask me whether this can be done. I just believe it can. If not, then nothing will get started!"" She easily gets stuck in her thinking, but she can also get easily moved at something small and start crying.",'Slice of Life',Japan Only,'Japan',Japanese,Japanese,çµ¶æ»…å±æ„šå°‘å¥³ Amazing Twins,26/2/2014,2014,2296,60.97691638,1.808,1,8,2295,61,Original,FALSE,94927,19953
1086,Wonder Momo,"One day, a group of aliens planning to take over Earth invade Tokyo. Momoko, who aspires to be an idol, gets involved in the fight in an unexpected form. Warudemon, king of the alien empire, uses various tactics to hunt down Momoko and the people around her. Momoko then decides to stand up to the Warudemon, plain and simple.","'Action', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,Wonder Momo,6/2/2014,2014,1468,30.87268392,2.9,7,4.3,1461,31,Video Game,FALSE,61538,20616
1087,Happiness Charge Precure!,,"'Fantasy', 'Mahou Shoujo'",Japan Only,'Japan',Japanese,Japanese,ãƒãƒ”ãƒã‚¹ãƒãƒ£ãƒ¼ã‚¸ãƒ—ãƒªã‚­ãƒ¥ã‚¢ï¼,2/2/2014,2014,2271,65,1.8,0,0,2271,65,Original,FALSE,105468,20577
1088,Sanbiki no Ossan,"Kiyokazu (Kinya Kitaoji) retires from the company where he worked for many years. He will begin a new job as a temp at a game center affiliated with his former company. After finishing his last day of work, he goes home. To celebrate his 60th birthday, his wife Yoshie (Yoshiko Nakada), son Kenji (Masahiro Komoto), daughter-in-law Takako (Naomi Nishida) and grandson Yuki (Takuro Ohno) are there waiting for him. Something causes Kiyokazu to become angry and he leaves home.",,Japan Only,'Japan',Japanese,Japanese,ä¸‰åŒ¹ã®ãŠã£ã•ã‚“ï½žæ­£ç¾©ã®å‘³æ–¹ã€è¦‹å‚!!ï½ž,17/1/2014,2014,0,0,1.4,0,0,,,,TRUE,70985,
1089,Inari Kon Kon,"Fushimi Inari is a shy, not-so-bright middle school girl living in Kyoto's Fushimi ward. She has a crush on her classmate Tanbabashi, but cannot express her feelings. One day, as thanks for helping a fox pup, the deity Uka no Mitama no Kami grants her the ability to change her form.","'Comedy', 'Romance', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,ã„ãªã‚Šã€ã“ã‚“ã“ã‚“ã€æ‹ã„ã‚ã¯ã€‚,16/1/2014,2014,19913,69.99367248,6.094,2,7,19911,70,Manga,FALSE,67143,20488
1090,Wizard Barristers,"Wizards and humans live side-by-side in Tokyo. While police continue to protect the rest of society, wizards are tried according to magical laws in special courts defended by wizard barristers. Cecile Sudo has just become the youngest wizard barrister at age 17, and begins work at the Butterfly Law Offices. However, unbeknownst to her, she has tremendous magical potentialâ€¦","'Action', 'Fantasy', 'Mecha'",Japan Only,'Japan',Japanese,Japanese,ã‚¦ã‚£ã‚¶ãƒ¼ãƒ‰ãƒ»ãƒãƒªã‚¹ã‚¿ãƒ¼ã‚ºï½žå¼é­”å£«ã‚»ã‚·ãƒ«,12/1/2014,2014,8611,55.85861108,2.931,25,7.3,8586,56,Original,FALSE,61680,20053
1091,"Wake Up, Girlsï¼",,"'Drama', 'Music', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,"Wake Up, Girlsï¼",11/1/2014,2014,9936,66.98832528,2.763,2,9,9934,67,Original,FALSE,74191,19023
1092,Nisekoi,"Nisekoi follows high school students Raku Ichijo, the son of a leader in the yakuza faction Shuei-Gumi, and Chitoge Kirisaki, the daughter of a boss in a rival gang known as Beehive. They unexpectedly meet when Chitoge hops a wall and knees Raku in the face. After she runs off, Raku realizes he has lost his locket which was given to him by his childhood sweetheart with whom he made a secret promise. After discovering Chitoge is a new transfer student in his class, he forces her to help him look for the locket. During the search, they begin to dislike each other.[8]

Upon returning home, Raku learns that the Shuei-Gumi and Beehive gangs have agreed to settle their feud by pairing their leaders' children. Raku learns that his girlfriend-to-be is none other than Chitoge. For the next three years, they must pretend to be in a relationship to maintain peace between the gangs. This turns out to be quite a challenging task, not only because of their hatred for one another, but also because Raku has a crush on another schoolmate, Kosaki Onodera, whom he secretly wishes was the girl who bears the key to his locket. Various developments complicate the situation, including Chitoge's over-protective bodyguard, a female hitman, a girl who claims to be Raku's fiancÃ©e, and the existence of multiple keys.","'Comedy', 'Romance'",Japan Only,'Japan',Japanese,Japanese,ãƒ‹ã‚»ã‚³ã‚¤,11/1/2014,2014,117316,73.89909816,21.962,181,8.6,117135,74,Manga,FALSE,62640,18897
1093,No-Rin,"The sudden retirement of the famous idol Yuka Kusakabe from the entertainment business shocks the world and devastates her biggest fan, teenager Kosaku Hata. His classmates at the Tamo Agriculture School manages to get him out of his depression and bring him out of his room to attend his classes. But to everyone's surprise, Yuka Kusakabe - her stage name - comes into their class under the name Ringo Kinoshita as a transfer student. Kosaku realizes he has a once-in-a-lifetime opportunity to get to personally know his dream girl and, together with his group of friends, try to find out why she came to the agricultural school and become more than just classmates.","'Comedy', 'Ecchi', 'Romance'",Japan Only,'Japan',Other European Languages,French,ã®ã†ã‚Šã‚“,11/1/2014,2014,24100,64.98556017,2.6,6,7,24094,65,Light Novel,FALSE,60733,18095
1094,GO!GO!575,"Go! Go! 575 adapts the Project 575 games for PlayStation Vita and iOS, which allow anyone to create songs using the traditional Japanese 5-7-5-syllable meter found in haiku and tanka poems.","'Music', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,ã‚´ï½žï¼ã‚´ï½žï¼ã”ï½žã—ã¡ã”ï½ž,10/1/2014,2014,2530,52.98221344,2.894,1,8,2529,53,Video Game,FALSE,73394,20516
1095,Pupa,"Growing up with an abusive father, Utsutsu is highly protective of his younger sister Yume. One day, she contracts the strange Pupa virus and begins to sprout grotesque wings and attack both animals and humans.","'Drama', 'Fantasy', 'Horror', 'Psychological'",Japan Only,'Japan',Japanese,Japanese,Pupa,10/1/2014,2014,2832,52.78516949,6.068,12,2.3,2820,53,,FALSE,71307,75613
1096,Hozuki's Coolheadedness,"HÅzuki is the aide to the great king of Hell, King Enma. Calm and super-sadistic, HÅzuki tries to resolve the various problems in Hell, including a rampaging MomotarÅ and his companions. However, he also likes spending his free time on his hobbies, such as fawning over cute animals and raising ""Goldfish Flowers.""","'Comedy', 'Fantasy', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,é¬¼ç¯ã®å†·å¾¹,10/1/2014,2014,16784,73.9438632,19.122,14,6.7,16770,74,Manga,FALSE,61529,20431
1097,Sakura Trick,"Haruka Takayama and YÅ« Sonoda were inseparable during middle school, but upon entering high school, they end up being seated on opposite sides of the classroom. Having to spend time with more friends, the two decide to make their relationship special by kissing each other in secret.","'Comedy', 'Romance', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,æ¡œTrick,10/1/2014,2014,36252,65.98188514,7.329,11,6.3,36241,66,Manga,FALSE,61462,20047
1098,Engaged to the Unidentified,"Just an ordinary teenager, Kobeni Yonomori receives quite the surprise on her 16th birthdayâ€”a fiancÃ© and a sister-in-law she never even knew she had. As a result of an arrangement that her late grandfather made, Hakuya Mitsumine and his younger sister Mashiro have moved from their countryside home to the Yonomori household in order to deepen their relationship with their new family members.

This story follows Kobeni's ""love life"" with Hakuya as she tries her best to adjust to the abrupt changes forced upon her. However, as some extraordinary secrets regarding the siblings come to light, Kobeni will find her life changed forever.","'Comedy', 'Romance', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,æœªç¢ºèªã§é€²è¡Œå½¢,9/1/2014,2014,50271,71.98959241,42.199,8,6.6,50263,72,Manga,FALSE,75992,20483
1099,My Big Sister Arrived,"Tomoyaâ€™s father remarries to another woman, giving him a stepsister, Ichika. However Ichika is 17-years old and has completely fallen in love with her stepbrother who is only 13!! Families will collide in the most unusual fashion this season, in the new anime short: ONEE-CHAN GA KITA!","'Comedy', 'Romance'",Japan Only,'Japan',Japanese,Japanese,ãŠå§‰ã¡ã‚ƒã‚“ãŒæ¥ãŸ,9/1/2014,2014,15006,59.97820872,7.122,6,5.5,15000,60,Manga,FALSE,72452,20473
1100,Yo-Kai Watch,Youkai Watch focusing on elementary schooler Keita Amano again. The events take place right after the original season; but still chronologically occur before the now complete Shadow Side events as they take place 30 years in the future.,"'Comedy', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,å¦–æ€ªã‚¦ã‚©ãƒƒãƒ,8/1/2014,2014,3325,61.89858647,21.53,6,5.8,3319,62,Video Game,FALSE,66562,19157
1101,Hamatora,"Hamatora (ãƒãƒžãƒˆãƒ©, lit. ""Yokohama Tiger"") is a Japanese mixed-media project. The project began with a manga series written by Yukino Kitajima and YÅ«ki Kodama as the character designer, while YÅ« Wazu is adapting the design to the illustration. The manga, Hamatora: The Comic, started serialization in Shueisha's Young Jump magazine in November 2013. An anime television series, Hamatora: The Animation, by the studio NAZ premiered on TV Tokyo and ran for twelve episodes between January 7 and March 25, 2014. It was followed by a second series by Lerche starting in July 2014, Re:_ Hamatora. Additionally, a role-playing game titled Hamatora: Look at Smoking World developed by FuRyu was released in July 2014. Other related titles include a light novel and a stage play.

The series takes place in the year 2014 when selected humans called Minimum Holders have been discovered to possess supernatural abilities. The story focuses on Minimum Holder Nice who forms a detective agency called ""Hamatora"" based in Yokohama and he starts gathering a large number of allies such as his partner Murasaki and assistant Hajime as well as enemies including several criminals. The anime stars RyÅta ÅŒsaka, Wataru Hatano, Emiri KatÅ, Kiyono Yasuno, Jun Fukuyama, and Yuichi Nakamura among others.

The series has earned mixed criticism by publications for manga and anime. While the elements of mystery have been well received, the themes and animation have attracted criticism. It has also been often compared with the X-Men for its setting and characters.","'Comedy', 'Drama', 'Mystery'",Japan Only,'Japan',Japanese,Japanese,ãƒãƒžãƒˆãƒ©,8/1/2014,2014,35709,68.99314459,9.05,4,7.8,35705,69,Original,FALSE,61791,20521
1102,D-Frag!,"Kazama Kenji likes to believe he is something of a delinquent. Moreover, others seem to like to agree that he is. Of course, Kenji's gang finds their way to a group of four not-so-normal girlsâ€”Chitose, Sakura, Minami and Rokaâ€”and all at once, whatever reputation he may have is nothing compared to the outrageous behavior of the girls. Shanghaied into joining their club, what will happen to his everyday life from that point on?",'Comedy',Japan Only,'Japan',Japanese,Japanese,ãƒ‡ã‚£ãƒ¼ãµã‚‰ã!,7/1/2014,2014,45275,72.9753683,9.463,17,7.4,45258,73,Manga,FALSE,68634,20031
1103,The Pilot's Love Song,"In order to uncover the ""end of the sky,"" as spoken of in ancient mythology, Kal-el Albus is sent to Isla, an island in the sky. There he attends Cadoques High's Aerial Division, where he enjoys a carefree life with his schoolmates. That is...until a surprise attack by the air tribe drags Isla into a bloody war.","'Adventure', 'Drama', 'Romance'",Japan Only,'Japan',Japanese,Japanese,ã¨ã‚ã‚‹é£›ç©ºå£«ã¸ã®æ‹æ­Œ,6/1/2014,2014,12440,67.99019293,5.534,2,7,12438,68,Light Novel,FALSE,77437,19117
1104,Soni-Ani: Super Sonico The Animation,"Super Sonico is a clutzy, adorable, and well-endowed 18-year old girl. She's a complete sucker for anything cute, especially stray cats, all of which she giddily adopts. However, though Sonico should be enjoying a carefree and simple lifestyle as a young college student, her life is really anything but easy: she must balance being a professional model, working part-time at her grandmother's restaurant, and practicing guitar and performing concerts with her friends Suzu Fujimi and Fuuri Watanuki in their band, First Astronomical Velocityâ€”all while attending college. SoniAni: Super Sonico the Animation follows Sonico as she faces daunting challenges in her search for her place in the world, even when her days are brimming with love and happiness.

Source: MyAnimeList","'Comedy', 'Music', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,ãã«ã‚¢ãƒ‹ -SUPER SONICO THE ANIMATION-,6/1/2014,2014,11028,53.9916576,8.928,2,8,11026,54,Original,FALSE,77175,20455
1105,Tonari no Seki-kun: The Master of Killing Time,"In the middle of class at a certain school, Rumi Yokoi, a diligent student, has her in-class life turned upside down when her desk mate Toshinari Seki begins to play by himself at his desk in class. Although Rumi is irked by Toshinari's distracting yet intricate playtime, she finds herself being drawn into his interesting hobby. Never being able to focus, Rumi observes Seki's stunning ways of slacking off in class.",'Comedy',Japan Only,'Japan',Japanese,Japanese,ã¨ãªã‚Šã®é–¢ãã‚“,5/1/2014,2014,28356,72.97219636,4.793,12,7.3,28344,73,Manga,FALSE,70036,18139
1106,Witch Craft Works,"Takamiya Honoka is a regular student whose only problem seems to be that he sits next to Kagari Ayaka, the school's #1 beauty. They have never spoken to each other before and any small interaction between them immediately results in her fanclub beating him. Yet when a falling part of the school's building is about to send him to the afterlife, it's Kagari that comes to his rescue. Only... she's dressed as a witch, carrying him in her arms and floating on a broom?! Kagari tells him it is her mission to protect him and that now she can finally protect him openly rather than undercover.","'Action', 'Fantasy', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,ã‚¦ã‚£ãƒƒãƒã‚¯ãƒ©ãƒ•ãƒˆãƒ¯ãƒ¼ã‚¯ã‚¹,5/1/2014,2014,35601,67.89118283,11.145,65,8.4,35536,68,Manga,FALSE,65614,20503
1107,Noragami,"Hiyori Iki is a normal middle school student until she was involved in a bus accident while trying to protect a stranger. This incident causes her soul to frequently slip out of her body, and she becomes aware of the existence of two parallel worlds. Through her soul, she meets the strange, nameless god without a shrine, Yato. Yato is determined to make a name for himself out there by accepting any wishes for 5 yen, including Hiyori's to fix her body.","'Action', 'Adventure', 'Comedy', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,ãƒŽãƒ©ã‚¬ãƒŸ,5/1/2014,2014,230122,77.89822138,26.384,337,8.5,229785,78,Manga,FALSE,64710,20447
1108,Robot Girls Z,"The story revolves around a new team of ""Toei robot girls"" named ""Team Z"" that is made up of three girls based on Toei's Mazinger Z franchise: Mazinger Z, Great Mazinger, and UFO Robot Grendizer. Usually they perform in activities around Nerima ward in Tokyo to raise the awareness of the promising future energy source ""Photon Power"" (koushiryoku). However, there are times when ""Mechanical Beast"" team of girls emerge from the ""Subterranean Empire"" and attempt to steal the energy. Thus ""Team Z"" has to battle them to prevent this, though sometimes they just go and beat up the ""bad girls"" to relieve stress.",'Comedy',Japan Only,'Japan',Japanese,Japanese,ãƒ­ãƒœãƒƒãƒˆã‚¬ãƒ¼ãƒ«ã‚ºï¼º,4/1/2014,2014,4398,62.94724875,1.741,4,5,4394,63,Original,FALSE,71465,19799
1109,Space Dandy,"Space Dandy is a dandy in space! This dreamy adventurer with a to-die-for pompadour travels across the galaxy in search of aliens no one has ever laid eyes on. Each new species he discovers earns him a hefty reward, but this dandy has to be quick on his feet because itâ€™s first come â€“ first served! Accompanied by his sidekicks, a rundown robot named QT and Meow the cat-looking space alien, Dandy bravely explores unknown worlds inhabited by a variety aliens. Join the best dressed alien hunter in all of space and time as he embarks on an adventure that ends at the edge of the universe!","'Comedy', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ã‚¹ãƒšãƒ¼ã‚¹â˜†ãƒ€ãƒ³ãƒ‡ã‚£,4/1/2014,2014,42959,75.93799437,7.696,39,7.7,42920,76,Original,FALSE,60874,20057
1110,"Recently, My Sister is Unusual","Mitsuki and Yuya become stepsister and stepbrother because of their parents' marriage. Mitsuki can't get along with her new family and Yuya doesn't know how to approach his new stepsister. One day, Mitsuki becomes possessed by the spirit of Hiyori. Hiyori likes Yuya and believes Yuya can help her get to heaven. Hiyori places a leather chastity belt upon on Mitsuki and a plan takes place to help send Hiyori to heaven.","'Comedy', 'Ecchi', 'Romance', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,æœ€è¿‘ã€å¦¹ã®ã‚ˆã†ã™ãŒã¡ã‚‡ã£ã¨ãŠã‹ã—ã„ã‚“ã ãŒã€‚,4/1/2014,2014,20557,56.99048499,6.981,4,8.1,20553,57,Manga,FALSE,60672,17777
1111,Future Card Buddyfight,"It is the year 2030, and the stage is the capital of Japan, Chou-Tokyo. Through ""Buddyfight"", humans have started cultural interactions with residents from other worlds called ""Affinity Dimensions"". Buddyfight is a game with selected humans as the ""Buddyfighter"", and residents from the other world as the partner (known as ""Buddy Monster""). These battles have high significance and sometimes it is even used to decide the fate of a nation, and naturally there are those who seek to use the Buddy Monsters for evil purposes.","'Action', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ãƒ•ãƒ¥ãƒ¼ãƒãƒ£ãƒ¼ã‚«ãƒ¼ãƒ‰ ãƒãƒ‡ã‚£ãƒ•ã‚¡ã‚¤ãƒˆ,3/1/2014,2014,1426,60.92636746,1.441,2,8.5,1424,61,Others,FALSE,71919,19067
1112,Buddy Complex,"When a giant robot suddenly attacks the city, a high-school student named Aoba is saved by a classmate who's piloting her own mecha. After accepting an offer to join the alliance she's is a part of, Aoba is thrust into the middle of high-flying robot warfare in this new series from the studio that brought you Cowboy Bebop, Outlaw Star, and Escaflowne!","'Action', 'Drama', 'Mecha', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ãƒãƒ‡ã‚£ãƒ»ã‚³ãƒ³ãƒ—ãƒ¬ãƒƒã‚¯ã‚¹,29/12/2013,2013,10351,66.98261038,7.633,3,7,10348,67,Original,FALSE,60663,20533
1113,Kyousougiga,"Hidden within Kyoto is the ""mirror capital"" where youkai and humans live together and no one ever dies. It is protected by three people - Kurama, Yase, and Myoue - as they await the return of their parents, Myoue Jonin and Koto. One day a young girl named Koto (same name, different spelling) and her little brothers A and Un wander into the city from a different dimension looking for her mother. A mecha-geek with red eyes, it's not immediately clear whether she's human or youkai. Her arrival upsets the long peace that had ruled the city.",'Supernatural',Japan Only,'Japan',Japanese,Japanese,äº¬é¨’æˆ¯ç”»,10/10/2013,2013,9127,66.9934261,4.071,1,7,9126,67,Original,FALSE,85065,10893
1114,æ®ºã—å±‹ã•ã‚“,,"'Action', 'Comedy', 'Thriller'",Japan Only,'Japan',Japanese,Japanese,æ®ºã—å±‹ã•ã‚“,10/10/2013,2013,47,68.53191489,0.6,1,1,46,70,,FALSE,79056,49536
1115,My Mental Choices Are Completely Interfering with my School Romantic Comedy,"High school student Kanade Amakusa suffers from a curse called ""Absolute Choice,â€ which requires him to select an action from a list of options that appear before him at random. Unfortunately, Amakusaâ€™s choices are limited to the weird and perverse, causing him to become something of a social outcast at school. But when a sudden choice on the way home from school causes a beautiful girl to fall out of the sky, Amakusa mightâ€™ve found the key to break his curse for good!","'Comedy', 'Ecchi', 'Romance', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,ä¿ºã®è„³å†…é¸æŠžè‚¢ãŒã€å­¦åœ’ãƒ©ãƒ–ã‚³ãƒ¡ã‚’å…¨åŠ›ã§é‚ªé­”ã—ã¦ã„ã‚‹,10/10/2013,2013,48204,68.9167538,15.725,66,8.2,48138,69,Light Novel,FALSE,72798,19221
1116,Samurai Flamenco,"Male model Masayoshi Hazama decides to become a superhero, despite having no superpowers or the technology to create a high-powered suit. He becomes the hero, Samurai Flamenco and begins to fight crime in the name of justice. Police officer Hidenori Goto finds out about Samurai Flamenco and his real identity by a twist of fate, which leads to him getting involved in lots of trouble. These two young men will come face to face with hardships of being crime-fighters while discovering what it truly means to be a hero of justice.","'Action', 'Comedy'",Japan Only,'Japan',Japanese,Japanese,ã‚µãƒ ãƒ©ã‚¤ãƒ•ãƒ©ãƒ¡ãƒ³ã‚³,10/10/2013,2013,19672,66.99059069,2.187,3,5.3,19669,67,Original,FALSE,61363,19365
1117,Galilei Donna,"Hozuki, Hazaki, and Kazaki Ferrari, three descendents of Galileo, live in Tuscany. A mysterious organization is searching for the ""Galilei Donna,"" and put out an international arrest warrant for the three sisters. The sisters must put aside their differences to join forces in fighting the organization and learning their true destiny.","'Action', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ã‚¬ãƒªãƒ¬ã‚¤ãƒ‰ãƒ³ãƒŠ,10/10/2013,2013,9145,59.98808092,2.35,2,5.5,9143,60,Original,FALSE,57008,19367
1118,BlazBlue Alter Memory,"In the year 2199, humanity eagerly waits for the dawn of the new century, following the end of a series of devastating magic wars. When the world's most wanted man, Ragna the Bloodedge (also known as the Grim Reaper) make a move to destroy society, a group of ragtag fighters come together to stop him.","'Action', 'Fantasy'",Japan Only,'Japan',Japanese,Japanese,ãƒ–ãƒ¬ã‚¤ãƒ–ãƒ«ãƒ¼ ã‚ªãƒ«ã‚¿ãƒ¼ãƒ¡ãƒ¢ãƒªãƒ¼,9/10/2013,2013,10954,53.96146613,1.834,9,7.1,10945,54,Video Game,FALSE,68485,18767
1119,Tokyo Ravens,"Tsuchimikado Harutora was born into a prestigious Onmyoji family, but he can't see ""spirit energy"". Therefore, he's been enjoying a peaceful daily life with his friends at an Onmyo branch school. One day, his childhood friend Tsuchimikado Natsume, heir to the head family, suddenly appears. Will this cause his destiny spring into motion!?","'Action', 'Comedy', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,æ±äº¬ãƒ¬ã‚¤ãƒ´ãƒ³ã‚º,9/9/2013,2013,47350,71.98332418,6.504,12,6.2,47338,72,Light Novel,FALSE,67395,16011
1120,Non Non Biyori,"Elementary school student Ichijou Hotaru has moved with her parents from Tokyo to the middle of the country. Now she must adapt to her new school, where there are a total of 5 students in the same class who range through elementary and middle school ages. Join their everyday adventures in the countryside.","'Comedy', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,ã®ã‚“ã®ã‚“ã³ã‚ˆã‚Š,8/10/2013,2013,54705,77.96911434,57.052,24,7.6,54681,78,Manga,FALSE,66875,17549
1121,Gingitsune: Messenger Fox of the Gods,"Gintarou is a fox spirit that has been protecting the small Inari temple since the Edo era. Saeki Makoto's family possesses the power to see the gods' agent, but the ability is limited to one living relative at a time. When Makoto's mother passed away while she was still young, Makoto inherited the ability as the sole remaining family member. With the help of fox spirit's power, Makoto and Gintarou help the people of their community, in spite of their many differences.","'Slice of Life', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,ãŽã‚“ãŽã¤ã­,7/10/2013,2013,8018,67.96981791,2.833,4,7.5,8014,68,Manga,FALSE,72911,18411
1122,Unbreakable Machine-Doll,"During the early 20th century, along with technological advancements, scientists were able to develop sophisticated magic. The combination of science and sorcery was Makinot, circuits made from spells that were put into objects to bring them to life and even gain a personality. It was developed as a military weapon and has now spread throughout the world. Akabane Raishin is now attending the Royal Academy to become the best in the world. Accompanied by the lovely teenage girl Yaya, who is actually Raishinâ€™s puppet weapon, he plans on rocketing to the top of the class. However, his test scores come nearly dead last although his combat skills and determination are second to none. Raishin has to compete with the deadliest of classmates if he wants to come out as the king.","'Action', 'Ecchi', 'Fantasy'",Japan Only,'Japan',Japanese,Japanese,æ©Ÿå·§å°‘å¥³ã€ˆãƒžã‚·ãƒ³ãƒ‰ãƒ¼ãƒ«ã€‰ã¯å‚·ã¤ã‹ãªã„,7/10/2013,2013,35782,66.99167179,3.674,5,7.4,35777,67,Light Novel,FALSE,68640,17247
1123,Yowamushi Pedal,"Sakamichi Onada is a wimpy high school freshman who loves anime. He initially wants to enter the anime club, but winds up joining the cycling club after meeting two classmates who are already famous cyclists. He undertakes the grueling training to compete in races, and discovers his own hidden talent in cycling.","'Comedy', 'Drama', 'Sports'",Japan Only,'Japan',Japanese,Japanese,å¼±è™«ãƒšãƒ€ãƒ«,7/10/2013,2013,26022,76.96522942,17.288,13,7.4,26009,77,Manga,FALSE,61441,18179
1124,Walkure Romanze,"Horses dashing gallantly... Knights challenging their own limits... Magnificent, heroic battles highlight the horseback lance sport of jousting. One of the many people fascinated by this proud sport, Takahiro Mizuno, acts as a begleiter (an assistant) to jousting knights as he lives his rather tedious life at Winford Academy.","'Ecchi', 'Romance', 'Sports'",Japan Only,'Japan',Japanese,Japanese,ãƒ¯ãƒ«ã‚­ãƒ¥ãƒ¼ãƒ¬ ãƒ­ãƒžãƒ³ãƒ„ã‚§,7/10/2013,2013,14420,57.98624133,7.909,4,8.4,14416,58,Visual Novel,FALSE,60868,19151
1125,Gundam Build Fighters,"Sei Iori is a Gunpla builder whose family runs a hobby shop in a small town. He aspires to be a Gunpla Battle champion like his father, but despite his exceptional building skills, he lacks the combat abilities to compete with other contestants. Then one day, he meets a mysterious boy named Reiji, who helps him improve his confidence in participating in Gunpla Battles. Together, Sei and Reiji battle their way to the 7th Gunpla Battle World Tournament.","'Action', 'Mecha', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ã‚¬ãƒ³ãƒ€ãƒ ãƒ“ãƒ«ãƒ‰ãƒ•ã‚¡ã‚¤ã‚¿ãƒ¼ã‚º,7/10/2013,2013,9810,75.93605505,13.87,9,6.3,9801,76,Original,FALSE,60667,19319
